type	modified	license	rightsholder	accessrights	bibliographiccitation	references	institutionid	collectionid	datasetid	institutioncode	collectioncode	datasetname	basisofrecord	informationwithheld	datageneralizations	dynamicproperties	occurrenceid	catalognumber	recordnumber	recordedby	individualcount	sex	lifestage	reproductivecondition	behavior	establishmentmeans	occurrencestatus	preparations	disposition	associatedmedia	associatedreferences	associatedsequences	associatedtaxa	othercatalognumbers	occurrenceremarks	organismid	organismname	organismscope	associatedoccurrences	associatedorganisms	previousidentifications	organismremarks	materialsampleid	eventid	fieldnumber	eventdate	eventtime	startdayofyear	enddayofyear	year	month	day	verbatimeventdate	habitat	samplingprotocol	samplingeffort	fieldnotes	eventremarks	locationid	highergeographyid	highergeography	continent	waterbody	islandgroup	island	country	countrycode	stateprovince	county	municipality	locality	verbatimlocality	minimumelevationinmeters	maximumelevationinmeters	verbatimelevation	minimumdepthinmeters	maximumdepthinmeters	verbatimdepth	minimumdistanceabovesurfaceinmeters	maximumdistanceabovesurfaceinmeters	locationaccordingto	locationremarks	decimallatitude	decimallongitude	geodeticdatum	coordinateuncertaintyinmeters	coordinateprecision	verbatimcoordinates	verbatimlatitude	verbatimlongitude	verbatimcoordinatesystem	verbatimsrs	footprintwkt	footprintsrs	georeferencedby	georeferenceddate	georeferenceprotocol	georeferencesources	georeferenceverificationstatus	georeferenceremarks	geologicalcontextid	earliesteonorlowesteonothem	latesteonorhighesteonothem	earliesteraorlowesterathem	latesteraorhighesterathem	earliestperiodorlowestsystem	latestperiodorhighestsystem	earliestepochorlowestseries	latestepochorhighestseries	earliestageorloweststage	latestageorhigheststage	lowestbiostratigraphiczone	highestbiostratigraphiczone	lithostratigraphicterms	group	formation	member	bed	identificationid	identificationqualifier	typestatus	identifiedby	dateidentified	identificationreferences	identificationverificationstatus	identificationremarks	scientificnameid	namepublishedinid	scientificname	acceptednameusage	originalnameusage	namepublishedin	namepublishedinyear	higherclassification	kingdom	phylum	class	order	family	genus	subgenus	specificepithet	infraspecificepithet	taxonrank	verbatimtaxonrank	scientificnameauthorship	vernacularname	nomenclaturalcode	taxonomicstatus	taxonremarks	lengthinmm	lengthtype	lengthunitsinferred	massing	massunitsinferred	underivedlifestage	underivedsex	dataset_url	dataset_citation	gbifdatasetid	gbifpublisherid	dataset_contact_email	dataset_contact	dataset_pubdate	lastindexed	migrator_version	hasmedia	hastissue	wascaptive	isfossil	isarch	vntype	haslength
PhysicalObject	2016-11-21	CC0			University of Michigan Museum of Zoology. UMMZ Mammal Collection. Record ID: 2b950453-2162-4b36-9f9f-1600a43c1ea1. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	http://portal.vertnet.org/o/ummz/mammals?id=2b950453-2162-4b36-9f9f-1600a43c1ea1				UMMZ	mammals		PreservedSpecimen				2b950453-2162-4b36-9f9f-1600a43c1ea1	34900		Ruthven, Alexander		male					Present	SKIN - 1|SKULL - 1																		07-14-1907				1907	07	14	14 JULY 1907								UNITED STATES, Iowa, CLAY	NORTH AMERICA				UNITED STATES		Iowa	CLAY		N/A	Clay Co., Iowa											43.0935000000	-95.1422000000	NAD27	10			43.093499999999999	-95.142200000000003	decimal degrees				Lucy Tran		MaNIS georeferencing guidelines	Topozone.com	unverified																														Lepus townsendii campanius					Lagomorpha Leporidae Lepus	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	campanius	subspecies				ICZN	Current								MALE		University of Michigan Museum of Zoology. UMMZ Mammal Collection. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	6d2cfc0a-9903-40b8-802b-403398218e4a	6ea87510-0561-11d8-b851-b8a03c50a862	cwthomp@umich.edu	Cody Thompson	2019-07-29	2019-08-04	no migrator	0	0	0	0	0	specimen	0
PhysicalObject	2015-9-28	CC0			University of Michigan Museum of Zoology. UMMZ Mammal Collection. Record ID: 3c3fd444-76d1-4a9f-a9cd-d0f5dd4700ed. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	http://portal.vertnet.org/o/ummz/mammals?id=3c3fd444-76d1-4a9f-a9cd-d0f5dd4700ed				UMMZ	mammals		PreservedSpecimen				3c3fd444-76d1-4a9f-a9cd-d0f5dd4700ed	93288	1144	King, J.		female					Present	SKIN - 1|SKULL - 1																		08-25-1948				1948	08	25	25 AUGUST 1948								UNITED STATES, South Dakota, PENNINGTON	NORTH AMERICA				UNITED STATES		South Dakota	PENNINGTON		3MI SE HILL CITY	UNITED STATES: SOUTH DAKOTA: PENNINGTON CO.; 3MI SE HILL CITY; , ;											43.9026000000	-103.5323000000	NAD27	2					decimal degrees				Lucy Tran		MaNIS georeferencing guidelines	Topozone.com	unverified																														Lepus townsendii campanius					Lagomorpha Leporidae Lepus	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	campanius	subspecies				ICZN	Current								FEMALE		University of Michigan Museum of Zoology. UMMZ Mammal Collection. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	6d2cfc0a-9903-40b8-802b-403398218e4a	6ea87510-0561-11d8-b851-b8a03c50a862	cwthomp@umich.edu	Cody Thompson	2019-07-29	2019-08-04	no migrator	0	0	0	0	0	specimen	0
PhysicalObject	2015-9-28	CC0			University of Michigan Museum of Zoology. UMMZ Mammal Collection. Record ID: 4612fbfb-5644-4f56-8d15-941b849632d9. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	http://portal.vertnet.org/o/ummz/mammals?id=4612fbfb-5644-4f56-8d15-941b849632d9				UMMZ	mammals		PreservedSpecimen				4612fbfb-5644-4f56-8d15-941b849632d9	58199	A873	Bailey, Bernard		male					Present	SKIN - 1|SKULL - 1																		03-07-1927				1927	03	07	7 MARCH 1927								UNITED STATES, Minnesota, SHERBURNE	NORTH AMERICA				UNITED STATES		Minnesota	SHERBURNE		ELK RIVER	UNITED STATES: MINNESOTA: SHERBURNE CO.; ELK RIVER; , ;											45.3039000000	-93.5669000000	NAD27	4					decimal degrees				Lucy Tran		MaNIS georeferencing guidelines	Topozone.com 1:200,000	unverified																														Lepus townsendii campanius					Lagomorpha Leporidae Lepus	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	campanius	subspecies				ICZN	Current								MALE		University of Michigan Museum of Zoology. UMMZ Mammal Collection. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	6d2cfc0a-9903-40b8-802b-403398218e4a	6ea87510-0561-11d8-b851-b8a03c50a862	cwthomp@umich.edu	Cody Thompson	2019-07-29	2019-08-04	no migrator	0	0	0	0	0	specimen	0
PhysicalObject	2016-12-22	CC0			University of Michigan Museum of Zoology. UMMZ Mammal Collection. Record ID: 4dea4624-7338-4561-b228-0963816b3a9e. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	http://portal.vertnet.org/o/ummz/mammals?id=4dea4624-7338-4561-b228-0963816b3a9e				UMMZ	mammals		PreservedSpecimen				4dea4624-7338-4561-b228-0963816b3a9e	35563		HANSEN, NELS		male					Present	SKIN - 1|SKULL - 1																		12-20-1907				1907	12	20	20 DECEMBER 1907								UNITED STATES, Iowa, PALO ALTO	NORTH AMERICA				UNITED STATES		Iowa	PALO ALTO		N/A	Palo Alto Co., Iowa											43.1128000000	-94.6828000000	NAD27	10					decimal degrees				Lucy Tran		MaNIS georeferencing guidelines	Topozone.com	unverified																														Lepus townsendii campanius					Lagomorpha Leporidae Lepus	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	campanius	subspecies				ICZN	Current								MALE		University of Michigan Museum of Zoology. UMMZ Mammal Collection. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	6d2cfc0a-9903-40b8-802b-403398218e4a	6ea87510-0561-11d8-b851-b8a03c50a862	cwthomp@umich.edu	Cody Thompson	2019-07-29	2019-08-04	no migrator	0	0	0	0	0	specimen	0
PhysicalObject	2016-12-22	CC0			University of Michigan Museum of Zoology. UMMZ Mammal Collection. Record ID: 4e4e674d-28f0-453c-88cc-76bb642016fc. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	http://portal.vertnet.org/o/ummz/mammals?id=4e4e674d-28f0-453c-88cc-76bb642016fc				UMMZ	mammals		PreservedSpecimen				4e4e674d-28f0-453c-88cc-76bb642016fc	38421		HANSEN, NELS		male					Present	SKIN - 1|SKULL - 1																		12-18-1908				1908	12	18	18 DECEMBER 1908								UNITED STATES, Iowa, PALO ALTO	NORTH AMERICA				UNITED STATES		Iowa	PALO ALTO		N/A	Iowa: Palo Alto Co.											43.1128000000	-94.6828000000	NAD27	10					decimal degrees				Lucy Tran		MaNIS georeferencing guidelines	Topozone.com	unverified																														Lepus townsendii campanius					Lagomorpha Leporidae Lepus	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	campanius	subspecies				ICZN	Current								MALE		University of Michigan Museum of Zoology. UMMZ Mammal Collection. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	6d2cfc0a-9903-40b8-802b-403398218e4a	6ea87510-0561-11d8-b851-b8a03c50a862	cwthomp@umich.edu	Cody Thompson	2019-07-29	2019-08-04	no migrator	0	0	0	0	0	specimen	0
PhysicalObject	2016-12-22	CC0			University of Michigan Museum of Zoology. UMMZ Mammal Collection. Record ID: 6fa043af-888c-4869-a1de-5078552425b7. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	http://portal.vertnet.org/o/ummz/mammals?id=6fa043af-888c-4869-a1de-5078552425b7				UMMZ	mammals		PreservedSpecimen				6fa043af-888c-4869-a1de-5078552425b7	36040		HANSEN, NELS		male					Present	SKIN - 1|SKULL - 1																		02-15-1908				1908	02	15	15 FEBRUARY 1908								UNITED STATES, Iowa, PALO ALTO	NORTH AMERICA				UNITED STATES		Iowa	PALO ALTO		N/A	Palo Alto Co., Iowa											43.1128000000	-94.6828000000	NAD27	10					decimal degrees				Lucy Tran		MaNIS georeferencing guidelines	Topozone.com	unverified																														Lepus townsendii campanius					Lagomorpha Leporidae Lepus	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	campanius	subspecies				ICZN	Current								MALE		University of Michigan Museum of Zoology. UMMZ Mammal Collection. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	6d2cfc0a-9903-40b8-802b-403398218e4a	6ea87510-0561-11d8-b851-b8a03c50a862	cwthomp@umich.edu	Cody Thompson	2019-07-29	2019-08-04	no migrator	0	0	0	0	0	specimen	0
PhysicalObject	2015-9-28	CC0			University of Michigan Museum of Zoology. UMMZ Mammal Collection. Record ID: 8f720845-29c1-497b-8126-9be648fd61b3. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	http://portal.vertnet.org/o/ummz/mammals?id=8f720845-29c1-497b-8126-9be648fd61b3				UMMZ	mammals		PreservedSpecimen				8f720845-29c1-497b-8126-9be648fd61b3	87778	3351	Alcorn, J.							Present	SKIN - 1																		08-03-1941				1941	08	03	3 AUGUST 1941								UNITED STATES, Nevada, ELKO	NORTH AMERICA				UNITED STATES		Nevada	ELKO		S.END MERIT MT.,HEAD GOLD CR.	UNITED STATES: NEVADA: ELKO CO.; S.END MERIT MT.,HEAD GOLD CR.; 41.86917, -115.83972;											41.8691700000	-115.8397200000	NAD27	2			41.869169999999997	-115.83972	decimal degrees				Lucy Tran		MaNIS georeferencing guidelines	ArcView GNIS/DeLorme NV Gazetteer	unverified																														Lepus townsendii townsendii					Lagomorpha Leporidae Lepus	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	townsendii	subspecies				ICZN	Current										University of Michigan Museum of Zoology. UMMZ Mammal Collection. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	6d2cfc0a-9903-40b8-802b-403398218e4a	6ea87510-0561-11d8-b851-b8a03c50a862	cwthomp@umich.edu	Cody Thompson	2019-07-29	2019-08-04	no migrator	0	0	0	0	0	specimen	0
PhysicalObject	2015-9-28	CC0			University of Michigan Museum of Zoology. UMMZ Mammal Collection. Record ID: 97e8ebd8-ce56-4e46-8ca5-806161ad14a6. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	http://portal.vertnet.org/o/ummz/mammals?id=97e8ebd8-ce56-4e46-8ca5-806161ad14a6				UMMZ	mammals		PreservedSpecimen				97e8ebd8-ce56-4e46-8ca5-806161ad14a6	77915	802	Blossom, P.		female					Present	SKIN - 1|SKULL - 1																		07-11-1935				1935	07	11	11 JULY 1935								UNITED STATES, Nebraska, DAWES	NORTH AMERICA				UNITED STATES		Nebraska	DAWES		10MI S CHADRON	UNITED STATES: NEBRASKA: DAWES CO.; 10MI S CHADRON; 42.684, -102.9985;											42.6840000000	-102.9985000000	NAD27	2			42.683999999999997	-102.99850000000001	decimal degrees				Lucy Tran		MaNIS georeferencing guidelines	Topozone.com	unverified																														Lepus townsendii campanius					Lagomorpha Leporidae Lepus	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	campanius	subspecies				ICZN	Current								FEMALE		University of Michigan Museum of Zoology. UMMZ Mammal Collection. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	6d2cfc0a-9903-40b8-802b-403398218e4a	6ea87510-0561-11d8-b851-b8a03c50a862	cwthomp@umich.edu	Cody Thompson	2019-07-29	2019-08-04	no migrator	0	0	0	0	0	specimen	0
PhysicalObject	2015-9-28	CC0			University of Michigan Museum of Zoology. UMMZ Mammal Collection. Record ID: aaab40b7-14cf-4c2a-aa54-6a6c795bef3d. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	http://portal.vertnet.org/o/ummz/mammals?id=aaab40b7-14cf-4c2a-aa54-6a6c795bef3d				UMMZ	mammals		PreservedSpecimen				aaab40b7-14cf-4c2a-aa54-6a6c795bef3d	93289	789	King, J.							Present	SKIN - 1|SKULL - 1																		02-20-1946				1946	02	20	20 FEBRUARY 1946								UNITED STATES, South Dakota, PENNINGTON	NORTH AMERICA				UNITED STATES		South Dakota	PENNINGTON		3MI W ROCKERVILLE	UNITED STATES: SOUTH DAKOTA: PENNINGTON CO.; 3MI W ROCKERVILLE; , ;											43.9581000000	-103.4187000000	NAD27	3					decimal degrees				Lucy Tran		MaNIS georeferencing guidelines	Topozone.com	unverified																														Lepus townsendii campanius					Lagomorpha Leporidae Lepus	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	campanius	subspecies				ICZN	Current										University of Michigan Museum of Zoology. UMMZ Mammal Collection. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	6d2cfc0a-9903-40b8-802b-403398218e4a	6ea87510-0561-11d8-b851-b8a03c50a862	cwthomp@umich.edu	Cody Thompson	2019-07-29	2019-08-04	no migrator	0	0	0	0	0	specimen	0
PhysicalObject	2015-11-13	CC0			University of Michigan Museum of Zoology. UMMZ Mammal Collection. Record ID: c0a3cba7-faab-4cca-8bc2-238f4c067a74. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	http://portal.vertnet.org/o/ummz/mammals?id=c0a3cba7-faab-4cca-8bc2-238f4c067a74				UMMZ	mammals		PreservedSpecimen				c0a3cba7-faab-4cca-8bc2-238f4c067a74	53831	36	Williams, H.		female					Present	SKIN - 1|SKULL - 1																		05-15-1913				1913	05	15	15 MAY 1913								UNITED STATES, North Dakota, NELSON	NORTH AMERICA				UNITED STATES		North Dakota	NELSON		STUMP LAKE	North Dakota: Nelson Co., Stump Lake											47.9111000000	-98.3839000000	NAD27	5					decimal degrees				Lucy Tran		MaNIS georeferencing guidelines	Topozone.com	unverified																														Lepus townsendii campanius					Lagomorpha Leporidae Lepus	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	campanius	subspecies				ICZN	Current								FEMALE		University of Michigan Museum of Zoology. UMMZ Mammal Collection. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	6d2cfc0a-9903-40b8-802b-403398218e4a	6ea87510-0561-11d8-b851-b8a03c50a862	cwthomp@umich.edu	Cody Thompson	2019-07-29	2019-08-04	no migrator	0	0	0	0	0	specimen	0
PhysicalObject	2016-11-21	CC0			University of Michigan Museum of Zoology. UMMZ Mammal Collection. Record ID: c4a5140e-4129-4b15-add9-5dd34a06951a. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	http://portal.vertnet.org/o/ummz/mammals?id=c4a5140e-4129-4b15-add9-5dd34a06951a				UMMZ	mammals		PreservedSpecimen				c4a5140e-4129-4b15-add9-5dd34a06951a	34901		Ruthven, Alexander		female					Present	SKIN - 1|SKULL - 1																		07-03-1907				1907	07	03	3 JULY 1907								UNITED STATES, Iowa, CLAY	NORTH AMERICA				UNITED STATES		Iowa	CLAY		N/A	Clay Co., Iowa											43.0935000000	-95.1422000000	NAD27	10			43.093499999999999	-95.142200000000003	decimal degrees				Lucy Tran		MaNIS georeferencing guidelines	Topozone.com	unverified																														Lepus townsendii campanius					Lagomorpha Leporidae Lepus	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	campanius	subspecies				ICZN	Current								FEMALE		University of Michigan Museum of Zoology. UMMZ Mammal Collection. Source: https://ipt.lsa.umich.edu/resource.do?r=ummz_mammals (source published on 2019-07-29)	6d2cfc0a-9903-40b8-802b-403398218e4a	6ea87510-0561-11d8-b851-b8a03c50a862	cwthomp@umich.edu	Cody Thompson	2019-07-29	2019-08-04	no migrator	0	0	0	0	0	specimen	0
PhysicalObject	2016-11-08 21:02:38.0	http://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Natural History Museum of Utah. UMNH Mammals Collection (Arctos). Record ID: http://arctos.database.museum/guid/UMNH:Mamm:10956?seid=3298367. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=umnh_mammals (source published on 2017-09-26)	http://arctos.database.museum/guid/UMNH:Mamm:10956	http://biocol.org/urn:lsid:biocol.org:col:34862	http://grbio.org/cool/74zs-fm7j		UMNH	Mammal specimens		PreservedSpecimen			sex=male	http://arctos.database.museum/guid/UMNH:Mamm:10956?seid=3298367	10956		Collector(s): Jack M. Broughton	1	male						skull; skeleton								http://arctos.database.museum/guid/UMNH:Mamm:10956					<i>Lepus townsendii townsendii</i> (accepted ID) identified by unknown on 2016-10-24; method: legacy					1996-07-25		207	207	1996	07	25	7/25/1996					OCCURRENCEREMARKS: wild caught; ESTABLISHMENTMEANS: native			North America, United States, Utah, Uintah County	North America				United States		Utah	Uintah County		Crouse Reservoir, 16 mi E, 20 mi N Vernal	United States | Utah | Uintah									unknown		40.71833	-109.18	North American Datum 1927	805		40.71833/-109.18			decimal degrees				unknown	2016-10-24	not recorded	not recorded	unverified																					A		unknown	2016-10-24		legacy				Lepus townsendii townsendii					Animalia; Chordata; Mammalia; Lagomorpha; Leporidae;	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	townsendii					ICZN									male		Natural History Museum of Utah. UMNH Mammals Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=umnh_mammals (source published on 2017-09-26)	06a00852-f764-4fb8-80d4-ca51f0918459	2d6267a0-0561-11d8-b851-b8a03c50a862	https://nhmu.utah.edu	Eric Rickart	2017-09-26	2017-10-19	no migrator	0	0	0	0		specimen	0
PhysicalObject	2016-11-08 21:25:58.0	http://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Natural History Museum of Utah. UMNH Mammals Collection (Arctos). Record ID: http://arctos.database.museum/guid/UMNH:Mamm:12929?seid=3302229. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=umnh_mammals (source published on 2017-09-26)	http://arctos.database.museum/guid/UMNH:Mamm:12929	http://biocol.org/urn:lsid:biocol.org:col:34862	http://grbio.org/cool/74zs-fm7j		UMNH	Mammal specimens		PreservedSpecimen			sex=male	http://arctos.database.museum/guid/UMNH:Mamm:12929?seid=3302229	12929		Collector(s): Jack M. Broughton	1	male						skull; skeleton								http://arctos.database.museum/guid/UMNH:Mamm:12929					<i>Lepus townsendii townsendii</i> (accepted ID) identified by unknown on 2016-10-24; method: legacy					1996-07-25		207	207	1996	07	25	7/25/1996					OCCURRENCEREMARKS: wild caught; ESTABLISHMENTMEANS: native			North America, United States, Utah, Uintah County	North America				United States		Utah	Uintah County		Crouse Reservoir, 16 mi E, 20 mi N Vernal	United States | Utah | Uintah									unknown		40.71833	-109.18	North American Datum 1927	805		40.71833/-109.18			decimal degrees				unknown	2016-10-24	not recorded	not recorded	unverified																					A		unknown	2016-10-24		legacy				Lepus townsendii townsendii					Animalia; Chordata; Mammalia; Lagomorpha; Leporidae;	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	townsendii					ICZN									male		Natural History Museum of Utah. UMNH Mammals Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=umnh_mammals (source published on 2017-09-26)	06a00852-f764-4fb8-80d4-ca51f0918459	2d6267a0-0561-11d8-b851-b8a03c50a862	https://nhmu.utah.edu	Eric Rickart	2017-09-26	2017-10-19	no migrator	0	0	0	0		specimen	0
PhysicalObject	2016-11-08 21:21:46.0	http://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Natural History Museum of Utah. UMNH Mammals Collection (Arctos). Record ID: http://arctos.database.museum/guid/UMNH:Mamm:13137?seid=3301550. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=umnh_mammals (source published on 2017-09-26)	http://arctos.database.museum/guid/UMNH:Mamm:13137	http://biocol.org/urn:lsid:biocol.org:col:34862	http://grbio.org/cool/74zs-fm7j		UMNH	Mammal specimens		PreservedSpecimen				http://arctos.database.museum/guid/UMNH:Mamm:13137?seid=3301550	13137		Collector(s): Norman V. Chamberlain	1							skull								http://arctos.database.museum/guid/UMNH:Mamm:13137					<i>Lepus townsendii townsendii</i> (accepted ID) identified by unknown on 2016-10-24; method: legacy					1953-08-25		237	237	1953	08	25	8/25/1953					OCCURRENCEREMARKS: wild caught; ESTABLISHMENTMEANS: native			North America, United States, Utah, Sevier County	North America				United States		Utah	Sevier County		Salina Canyon, 20 mi E Salina	United States | Utah | Sevier	2316.48	2316.48							unknown	VERBATIMELEVATION: 7600	38.88205	-111.57188	North American Datum 1927	25572		38.88205/-111.57188			decimal degrees				unknown	2016-10-24	not recorded	not recorded	unverified																					A		unknown	2016-10-24		legacy				Lepus townsendii townsendii					Animalia; Chordata; Mammalia; Lagomorpha; Leporidae;	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	townsendii					ICZN											Natural History Museum of Utah. UMNH Mammals Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=umnh_mammals (source published on 2017-09-26)	06a00852-f764-4fb8-80d4-ca51f0918459	2d6267a0-0561-11d8-b851-b8a03c50a862	https://nhmu.utah.edu	Eric Rickart	2017-09-26	2017-10-19	no migrator	0	0	0	0		specimen	0
PhysicalObject	2016-11-08 21:21:47.0	http://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Natural History Museum of Utah. UMNH Mammals Collection (Arctos). Record ID: http://arctos.database.museum/guid/UMNH:Mamm:13138?seid=3301551. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=umnh_mammals (source published on 2017-09-26)	http://arctos.database.museum/guid/UMNH:Mamm:13138	http://biocol.org/urn:lsid:biocol.org:col:34862	http://grbio.org/cool/74zs-fm7j		UMNH	Mammal specimens		PreservedSpecimen				http://arctos.database.museum/guid/UMNH:Mamm:13138?seid=3301551	13138		Collector(s): Norman V. Chamberlain	1							skull								http://arctos.database.museum/guid/UMNH:Mamm:13138					<i>Lepus townsendii townsendii</i> (accepted ID) identified by unknown on 2016-10-24; method: legacy					1956-09-16		260	260	1956	09	16	9/16/1956					OCCURRENCEREMARKS: wild caught; ESTABLISHMENTMEANS: native			North America, United States, Utah, Sevier County	North America				United States		Utah	Sevier County		Salina Canyon, 20 mi E Salina	United States | Utah | Sevier	2316.48	2316.48							unknown	VERBATIMELEVATION: 7600	38.88205	-111.57188	North American Datum 1927	25572		38.88205/-111.57188			decimal degrees				unknown	2016-10-24	not recorded	not recorded	unverified																					A		unknown	2016-10-24		legacy				Lepus townsendii townsendii					Animalia; Chordata; Mammalia; Lagomorpha; Leporidae;	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	townsendii					ICZN											Natural History Museum of Utah. UMNH Mammals Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=umnh_mammals (source published on 2017-09-26)	06a00852-f764-4fb8-80d4-ca51f0918459	2d6267a0-0561-11d8-b851-b8a03c50a862	https://nhmu.utah.edu	Eric Rickart	2017-09-26	2017-10-19	no migrator	0	0	0	0		specimen	0
PhysicalObject	2016-11-08 21:57:43.0	http://creativecommons.org/publicdomain/zero/1.0/		http://vertnet.org/resources/norms.html	Natural History Museum of Utah. UMNH Mammals Collection (Arctos). Record ID: http://arctos.database.museum/guid/UMNH:Mamm:18450?seid=3307467. Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=umnh_mammals (source published on 2017-09-26)	http://arctos.database.museum/guid/UMNH:Mamm:18450	http://biocol.org/urn:lsid:biocol.org:col:34862	http://grbio.org/cool/74zs-fm7j		UMNH	Mammal specimens		PreservedSpecimen				http://arctos.database.museum/guid/UMNH:Mamm:18450?seid=3307467	18450		Collector(s): Nolan K. Dean	1							skull								http://arctos.database.museum/guid/UMNH:Mamm:18450					<i>Lepus townsendii townsendii</i> (accepted ID) identified by unknown on 2016-10-24; method: legacy					1960-07-18		200	200	1960	07	18	7/18/1960					OCCURRENCEREMARKS: wild caught; ESTABLISHMENTMEANS: native			North America, United States, Colorado, Archuleta County	North America				United States		Colorado	Archuleta County		Sambrito Creek, 0.5 mi N New Mexico state line	United States | Colorado | Archuleta									unknown		37.01	-107.41	North American Datum 1927	1000		37.01/-107.41			decimal degrees				unknown	2016-10-24	not recorded	not recorded	unverified																					A		unknown	2016-10-24		legacy				Lepus townsendii townsendii					Animalia; Chordata; Mammalia; Lagomorpha; Leporidae;	Animalia	Chordata	Mammalia	Lagomorpha	Leporidae	Lepus		townsendii	townsendii					ICZN											Natural History Museum of Utah. UMNH Mammals Collection (Arctos). Source: http://ipt.vertnet.org:8080/ipt/resource.do?r=umnh_mammals (source published on 2017-09-26)	06a00852-f764-4fb8-80d4-ca51f0918459	2d6267a0-0561-11d8-b851-b8a03c50a862	https://nhmu.utah.edu	Eric Rickart	2017-09-26	2017-10-19	no migrator	0	0	0	0		specimen	0
